AB型血	AB型血 🆎️
A型血	A型血 🅰️
B型血	B型血 🅱️
DNA	DNA 🧬
ID	ID 🪪
K歌	K歌 🪩
O型血	O型血 🅾️
X光	X光 🩻
〇	〇 0️⃣
零	零 0️⃣
一	一 1️⃣
二	二 2️⃣
三	三 3️⃣
四	四 4️⃣
五	五 5️⃣
六	六 6️⃣
七	七 7️⃣
八	八 8️⃣
九	九 9️⃣
㡌	㡌 🧢
䢂	䢂 🛗
乖	乖 😬
书	书 📖
乳	乳 🥛
亲	亲 😘
他	他 👤
伞	伞 🌂
伤	伤 🤕
倒	倒 🤒
傘	傘 🌂
傷	傷 🤕
傻	傻 🐷
兔	兔 🐇
円	円 💴
冰	冰 🧊
冻	冻 🥶
凍	凍 🥶
减	减 ➖
刀	刀 🔪
切	切 🤪
加	加 ➕
勺	勺 🥄
匙	匙 🥄
十	十 🔟
叉	叉 ❎
口	口 👄
吐	吐 🤮
吓	吓 😦
咦	咦 🤨
哟	哟 😯
哦	哦 😮
哭	哭 😭
唇	唇 👄
唓	唓 🤪
唱	唱 🎤
喲	喲 😯
嘘	嘘 🤫
嘪	嘪 😟
嘴	嘴 👄
噓	噓 🤫
墓	墓 🪦
壶	壶 🫖
壺	壺 🫖
夜	夜 🌃
奶	奶 🥛
她	她 👤
宅	宅 🏠
家	家 🏠
尺	尺 📏
屁	屁 😛
屋	屋 🏠
屎	屎 💩
帚	帚 🧹
弓	弓 🏹
心	心 🫀
怒	怒 😡
憨	憨 🐷
戶	戶 🪟
户	户 🪟
抱	抱 🫂
操	操 🤬
斧	斧 🪓
日	日 🌞
書	書 📖
朔	朔 🌑
木	木 🪵
杖	杖 🦯
杧	杧 🥭
枝	枝 🌿
枫	枫 🍁
枭	枭 🦉
柴	柴 🪵
栗	栗 🌰
桃	桃 🍑
桶	桶 🪣
梟	梟 🦉
梨	梨 🍐
梯	梯 🪜
椰	椰 🥥
楓	楓 🍁
樽	樽 🏺
橙	橙 🟧
水	水 💧
泡	泡 🫧
泪	泪 😭
派	派 🥧
浪	浪 🌊
淚	淚 😭
渔	渔 🎣
減	減 ➖
溅	溅 💦
漁	漁 🎣
濺	濺 💦
火	火 🔥
灯	灯 💡
烟	烟 🚬
烫	烫 🥵
煙	煙 🚬
熊	熊 🐻
燈	燈 💡
燙	燙 🥵
牙	牙 🦷
犀	犀 🦏
犬	犬 🐕
狐	狐 🦊
狮	狮 🦁
狸	狸 🦫
狼	狼 🐺
猥	猥 🦔
猪	猪 🐖
猫	猫 🐈
猴	猴 🐒
猿	猿 🦧
獅	獅 🦁
獾	獾 🦡
画	画 🎨
畫	畫 🎨
皂	皂 🧼
盐	盐 🧂
盔	盔 🪖
石	石 🪨
砖	砖 🧱
硴	硴 🦪
碗	碗 🥣
磚	磚 🧱
票	票 🎫
稻	稻 🌾
窗	窗 🪟
窘	窘 😅
窥	窥 🫣
窺	窺 🫣
竹	竹 🎍
筷	筷 🥢
箭	箭 🏹
箸	箸 🥢
篮	篮 🧺
籃	籃 🧺
糖	糖 🍬
紅	紅 🟥
紫	紫 🟪
結	結 🪢
綠	綠 🟩
線	線 🧵
红	红 🟥
线	线 🧵
结	结 🪢
绿	绿 🟩
罐	罐 🫙
羽	羽 🪶
肺	肺 🫁
脑	脑 🧠
脷	脷 👅
腦	腦 🧠
舌	舌 👅
